,beer_id,abv,style,brewery
179,72950,0.057999999999999996,IPA - English,Green Jack Brewing Company
180,1363064,0.04,Golden Ale,Bowland Brewery
181,131282,0.054000000000000006,Red Ale - American Amber / Red,Redwillow Brewery
182,1068244,0.04,English Mild Ale,Muirhouse Brewery
183,1032271,0.038,Golden Ale,Brightside Brewing Company
184,1888353,0.05,Pale Ale - English,HopJacker
185,1945970,0.04,Stout - Other,Wold Top Brewery 
186,1913534,0.045,Extra Special / Strong Bitter,Stancill Brewery
187,1831932,0.0,Golden Ale,Hellish Good Beer
188,49705,0.040999999999999995,English Bitter,St. Peter’s Brewery Co.
189,407706,0.05,IPA - American,Brightside Brewing Company
190,10892,0.040999999999999995,Golden Ale,Abbeydale Brewery
191,1496974,0.059000000000000004,Porter - English,Leatherbritches
192,1277855,0.04,Pale Ale - English,Bude Brewery
193,1888322,0.045,English Mild Ale,Revolutions Brewing Co.
194,1533674,0.040999999999999995,Golden Ale,Heritage Brewing Co.
195,1569382,0.039,Golden Ale,Oldershaw Beers
196,1404308,0.047,Extra Special / Strong Bitter,Oldershaw Beers
197,85093,0.0666,Stout - Other,Abbeydale Brewery
198,1902601,0.044000000000000004,Golden Ale,Abbeydale Brewery
199,1163223,0.043,Golden Ale,Matlock Wolds Farm
200,4168,0.07,Belgian Dubbel,Brouwerij der Trappisten van Westmalle
201,223376,0.055,IPA - English,Monteith's Brewing Co. 
202,119792,0.057,Pale Ale - American,Dark Star Brewing Co.
203,37876,0.043,Old Ale,Harvey & Son (Harveys)
204,1717140,0.048,Brown Ale - English,Harvey & Son (Harveys)
205,65555,0.048,English Bitter,"Fuller, Smith & Turner "
206,653475,0.035,IPA - English,Harvey & Son (Harveys)
207,626008,0.046,Pale Ale - New Zealand,Monteith's Brewing Co. 
208,41655,0.045,Pale Ale - English,Harvey & Son (Harveys)
209,1942512,0.06,Saison / Farmhouse Ale,Redchurch Brewery 
210,1189187,0.065,IPA - American,Vocation
211,922042,0.051,IPA - English,Theakston
212,1917052,0.042,IPA - American,Lister's Brewery
213,1435974,0.048,Pale Ale - American,No. 18 Yard Brewhouse
214,1941235,0.095,IPA - Imperial / Double,BrewDog
215,282644,0.09,Saison / Farmhouse Ale,The Wild Beer Co
216,138686,0.048,Pale Ale - English,Harvey & Son (Harveys)
217,1936169,0.062000000000000006,IPA - English,BrewDog
218,9301,0.045,Pale Ale - English,Adnams
219,1472370,0.047,Rauchbier,Gun Brewery
220,1952361,0.08199999999999999,Stout - Milk / Sweet,BrewDog
221,5375,0.09,Belgian Strong Dark Ale,Brooklyn Brewery
222,817678,0.08,Sour - Ale,Burning Sky Brewery
223,1856795,0.115,Stout - Imperial / Double,Howling Hops
224,26936,0.09,Stout - Russian Imperial,Harvey & Son (Harveys)
225,207917,0.06,Red Ale - American Amber / Red,Les Brasseurs du Sornin
226,371096,0.039,Pale Ale - English,Moonshine Brewery
227,1939060,0.042,Pale Ale - English,Loose Cannon Brewery
228,6067,0.07,Bière de Garde,Brasserie La Choulette
229,167829,0.043,English Bitter,Two Cocks Brewery
230,15524,0.047,Extra Special / Strong Bitter,Lymestone Brewery
231,49645,0.038,English Bitter,Twickenham Fine Ales
232,662170,0.066,Dark Ale,Les Brasseurs du Sornin
233,63847,0.06,Fruit Beer,Brouwerij Alken-Maes
234,1839428,0.045,Winter Ale,Loose Cannon Brewery
235,1891156,0.047,English Mild Ale,Loose Cannon Brewery
236,1811219,0.045,Blonde Ale,Cottage Brewing Co.
237,1546534,0.062000000000000006,Rye Beer,LAM Brewing
238,22540,0.075,Belgian Strong Golden Ale,Brasserie St-Feuillien
239,997797,0.052000000000000005,IPA - American,LAM Brewing
240,7026,0.04,English Bitter,Samuel Smith's Old Brewery
241,992457,0.049,Winter Ale,Arundel Brewery
242,599402,0.05,IPA - American,Adnams
243,2962,0.052000000000000005,Extra Special / Strong Bitter,Shepherd Neame
244,291444,0.04,Golden Ale,Everards Brewery
245,1932062,0.043,Golden Ale,The Beer Studio
246,989241,0.075,Bière de Garde,Brasserie La Choulette
247,323310,0.045,Pale Ale - American,Siren Craft Brew
248,390423,0.039,Cider,Hogan's Cider
249,854417,0.054000000000000006,IPA - Black / Cascadian Dark Ale,Shiny Brewing
250,9657,0.044000000000000004,Golden Ale,Kona Brewing Company
251,800931,0.05,IPA - English,Seven Bro7hers Brewery
252,1950787,0.042,Pale Ale - American,Brunswick Brewing Company
253,313188,0.06,IPA - Black / Cascadian Dark Ale,Vibrant Forest Brewery
254,1871920,0.08800000000000001,Porter - Imperial / Double,Siren Craft Brew
255,1924854,0.038,Pale Ale - New Zealand,Mart's Craft Beers
256,77924,0.065,IPA - American,Moor Beer Company
257,1754051,0.057,IPA - American,The Wild Beer Co
258,388016,0.05,IPA - English,Derby Brewing Company
259,1956831,0.04,Pale Ale - International,Shiny Brewing
260,1815603,0.06,IPA - International,Blackjack Beers
261,1025660,0.07,Porter - English,Signature Brew
262,1895144,0.047,Pale Ale - American,Siren Craft Brew
263,862052,0.045,Saison / Farmhouse Ale,The Wild Beer Co
264,1841948,0.054000000000000006,Lager - American Light,Magic Rock Brewing
265,425106,0.063,IPA - American,Wylam
266,1950523,0.065,Gluten-Free,Magic Rock Brewing
267,1910087,0.036000000000000004,Brown Ale - English,Derby Brewing Company
268,578075,0.047,Pilsner - Other,Fourpure Brewing Co
269,666473,0.039,Pale Ale - English,Rockin Robin Brewery
270,1514437,0.07200000000000001,IPA - American,Northern Monk
271,1533403,0.042,Pale Ale - English,Watneys
272,1006386,0.044000000000000004,Pale Ale - Australian,Truman's Brewery
273,218048,0.039,English Bitter,Saltaire Brewery
274,103773,0.052000000000000005,Witbier,Einstök Ölgerð
275,740154,0.04,Witbier,Shiny Brewing
276,415378,0.045,Hefeweizen,Moor Beer Company
277,305906,0.042,Lager - Pale,The 5 Lamps Dublin Brewery
278,108038,0.048,Kölsch,Thornbridge Brewery
279,840197,0.042,Blonde Ale,Shipstone's
280,1547,0.059000000000000004,Märzen,Spaten-Franziskaner-Löwenbräu-Gruppe
281,144644,0.04,Pale Ale - English,Black Sheep
282,138900,0.037000000000000005,Golden Ale,Twickenham Fine Ales
283,8767,0.1,Winter Ale,Brouwerij Huyghe
284,1663459,0.055,Spiced / Herbed Beer,Fierce Beer
285,63036,0.04,English Bitter,Kelham Island Brewery
286,302888,0.05,Brown Ale - English,Fuzzy Duck Brewery
287,886,0.045,Pale Ale - English,Wye Valley Brewery
288,502640,0.046,Pale Ale - English,Shiny Brewing
289,1635862,0.040999999999999995,Pale Ale - New Zealand,Ledbury Real Ales
290,1805855,0.05,IPA - English,The Hop Studio
291,280126,0.04,English Bitter,Lancaster Brewery
292,13388,0.045,Red Ale - Irish,Guinness
293,177759,0.053,English Mild Ale,Grainstore Brewery
294,450,0.043,Golden Ale,RCH Brewery
295,155082,0.039,Blonde Ale,Moorhouse's Brewery
296,6249,0.045,Dark Ale,Bath Ales
297,53574,0.055,Strong Ale - English,Potbelly Brewery
298,1839771,0.043,Brown Ale - English,Cotleigh Brewery
299,14933,0.046,Golden Ale,Brakspear Brewing Company
300,1888422,0.04,English Bitter,Jennings Brewery
301,1838124,0.04,Pale Ale - English,Cottage Brewing Co.
302,124053,0.04,Golden Ale,Plain Ales
303,1567158,0.071,Maibock/Helles Bock,Miskatonic Brewing Company
304,230282,0.044000000000000004,English Bitter,Cottage Brewing Co.
305,1827727,0.038,Pale Ale - English,Battledown Brewery
306,323445,0.04,English Bitter,Hook Norton Brewery
307,1811224,0.04,English Bitter,Cottage Brewing Co.
308,1860639,0.06,Extra Special / Strong Bitter,Sharp's Brewery
309,252331,0.044000000000000004,English Bitter,Bespoke Brewing Co.
310,277877,0.04,English Bitter,Plain Ales
311,6444,0.042,Pale Ale - English,Purity Brewing Co. (England)
312,15040,0.057,IPA - English,Marston's Brewery
313,968635,0.048,IPA - English,Bespoke Brewing Co.
314,548938,0.047,Golden Ale,Cottage Brewing Co.
315,16817,0.045,English Bitter,Brentwood Brewing Company
316,445,0.05,Winter Ale,Wychwood Brewery
317,779052,0.04,IPA - American,Greene King
318,158571,0.046,Lager - Helles,Camden Town Brewery
319,11358,0.049,Pilsner - German,WEST Brewery
320,1515282,0.045,Lager - Amber,ALDI Stores UK
321,33651,0.037000000000000005,English Bitter,"Fuller, Smith & Turner "
322,45380,0.04,Pale Ale - American,Camden Town Brewery
323,1513825,0.038,Golden Ale,ALDI Stores UK
324,1511487,0.05,IPA - American,ALDI Stores UK
325,858244,0.038,Golden Ale,"Fuller, Smith & Turner "
326,12332,0.043,Pale Ale - English,Meantime Brewing Company
327,332169,0.046,Pilsner - Other,Portobello Brewery
328,3834,0.042,Lager - American Light,Coors Brewing Company
329,1412561,0.13699999999999998,Stout - Imperial / Double,Beavertown
330,1956772,0.04,Other,Beavertown
331,169302,0.054000000000000006,Smoked Beer,Beavertown
332,1237342,0.035,IPA - Session / India Session Ale,Sambrook's Brewery
333,1953296,0.052000000000000005,Pale Ale - English,Brew By Numbers
334,612075,0.055,Pale Ale - American,Basqueland Brewing Project
335,732573,0.055,Pale Ale - Australian,Stone & Wood
336,8261,0.052000000000000005,Pale Ale - American,Little Creatures Brewing
337,1916721,0.065,IPA - American,Cloudwater Brew Co.
338,402909,0.049,Sour - Ale,Buxton Brewery
339,1833355,0.042,Patersbier,Unity Brewing Co
340,1956763,0.07200000000000001,Belgian Strong Golden Ale,Beavertown
341,1919595,0.06,Blonde Ale,To Øl
342,1945675,0.045,Red Ale - Other,40FT Brewery
343,281962,0.05,Pale Ale - American,Cigar City Brewing
344,1956815,0.065,Sour - Farmhouse IPA,Beavertown
345,1884073,0.075,IPA - American,Basqueland Brewing Project
346,1425951,0.085,IPA - Imperial / Double,Beavertown
347,1868223,0.07,Sour - Ale,Buxton Brewery
348,1946965,0.11,Stout - Imperial / Double,Dry & Bitter Brewing Company
349,1913608,0.06,IPA - American,Dry & Bitter Brewing Company
350,160763,0.047,Lager - Helles,Brauerei Locher
351,1924641,0.065,IPA - American,Brew By Numbers
352,1389383,0.059000000000000004,IPA - American,Fourpure Brewing Co
353,1688690,0.042,IPA - Session / India Session Ale,Bianca Road Brew Co
354,1488129,0.045,Witbier,Time and Tide Brewing
355,10722,0.075,Belgian Dubbel,Abbaye Notre-Dame de Saint-Rémy
356,58420,0.053,IPA - American,Sleeman Breweries Ltd.
357,1823460,0.04,Pale Ale - English,Shepherd Neame
358,1930256,0.046,Pilsner - Other,Portobello Brewery
359,998499,0.048,Hefeweizen,Fourpure Brewing Co
360,1066345,0.045,IPA - American,Beerd Brewery
361,389353,0.055,Mead,Gosnells
362,5513,0.045,IPA - English,St Austell Brewery
363,24152,0.035,Pale Ale - English,Ilkley Brewery Co.
364,758634,0.07,IPA - American,Barrier Brewing Company
365,1896449,0.049,Hefeweizen,UBREW
366,174585,0.044000000000000004,Golden Ale,Twickenham Fine Ales
367,1924637,0.045,Pale Ale - Belgian,Brew By Numbers
368,1688205,0.065,IPA - American,Partizan Brewing
369,1070307,0.044000000000000004,IPA - Session / India Session Ale,Vocation
370,508285,0.05,Pale Ale - American,Fourpure Brewing Co
371,50096,0.038,English Bitter,Great Heck Brewing Co Ltd
372,9379,0.09,Belgian Strong Dark Ale,Brasserie St-Feuillien
373,148036,0.038,English Bitter,Skinners Brewing Co
374,1331871,0.044000000000000004,Red Ale - American Amber / Red,Bristol Beer Factory
375,1934511,0.045,Pale Ale - English,Crafty Devil Brewing Co
376,12695,0.12,Belgian Strong Dark Ale,Brasserie Dubuisson
377,103362,0.054000000000000006,Hefeweizen,Benediktiner Weißbräu
378,262317,0.07,Winter Ale,Brasserie Des Géants (Brasserie des Légendes)
379,1901060,0.040999999999999995,Golden Ale,Lancaster Brewery
380,1012411,0.05,Cider,Tesco Stores Ltd.
381,1389403,0.036000000000000004,Red Ale - American Amber / Red,Gloucester Brewery
382,18526,0.048,Ginger Beer,John Crabbie & Co
383,1926980,0.043,IPA - Red,James Street Brewery
384,374584,0.045,Lager - Pale,"Fuller, Smith & Turner "
385,621215,0.038,English Bitter,James Street Brewery
386,1711106,0.035,Sour - Berliner Weisse,King Street Brew House
387,1400,0.09,Belgian Strong Golden Ale,Brasserie La Binchoise
388,1107863,0.045,Lager - Pale,Renegade Brewery
389,1921189,0.047,Porter - English,Electric Bear Brewing Co
390,1075111,0.045,Pale Ale - American,Harbour Brewing Co
391,1701387,0.052000000000000005,Lager - Vienna,Lost And Grounded Brewers
392,236436,0.065,Winter Ale,Brouwerij Alken-Maes
393,1475465,0.04,Cider,Pimm's
394,6875,0.044000000000000004,English Bitter,Marston's Brewery
395,62903,0.046,Red Ale - American Amber / Red,Magic Rock Brewing
396,5991,0.05,Lager - Euro,Carlsberg Group
397,5939,0.055,Lager - Euro,Kronenbourg
398,379622,0.045,Pale Ale - American,Partizan Brewing
399,112643,0.049,Winter Ale,Saltaire Brewery
400,584612,0.046,Red Ale - American Amber / Red,Ilkley Brewery Co.
401,6347,0.046,Lager - Pale,Birra Moretti
402,48983,0.042,English Bitter,Little Valley Brewery
403,1937033,0.04,Pale Ale - English,Copper Dragon Brewery
404,1021213,0.045,Golden Ale,Guinness
405,815236,0.043,English Bitter,Thwaites Brewery
406,514866,0.037000000000000005,Pale Ale - English,York Brewery 
407,1765799,0.040999999999999995,IPA - Session / India Session Ale,Alphabet Brewing Company
408,5875,0.052000000000000005,Brown Ale - English,Wychwood Brewery
409,250912,0.04,Golden Ale,AllGates
410,28845,0.04,English Bitter,Wickwar Wessex Brewing Co
411,277773,0.042,Lager - Pale,The Great Yorkshire Brewery
412,236612,0.04,Lager - Pale,Saltaire Brewery
413,68908,0.048,Pale Ale - American,Saltaire Brewery
414,234107,0.047,Hefeweizen,Great Heck Brewing Co Ltd
415,3346,0.05,IPA - English,Samuel Smith's Old Brewery
416,8991,0.038,English Bitter,Acorn Brewery
417,628027,0.045,Porter - English,RCH Brewery
418,27377,0.036000000000000004,Pale Ale - English,Marston's Brewery
419,58097,0.045,Golden Ale,Palmers Brewery
420,1638826,0.048,Golden Ale,Cheddar Ales
421,85179,0.045,Golden Ale,Kelham Island Brewery
422,1575803,0.044000000000000004,Kölsch,Cheddar Ales
423,52452,0.05,Stout - Other,Binghams Brewery
424,17801,0.047,Pale Ale - American,Dark Star Brewing Co.
425,1875404,0.043,Golden Ale,Cheddar Ales
426,76682,0.044000000000000004,English Bitter,Gadds' The Ramsgate Brewery
427,1510862,0.039,English Bitter,Quantock Brewery
428,331426,0.045,Brown Ale - English,Twisted Oak
429,1443551,0.049,Red Ale - American Amber / Red,Cheddar Ales
430,1726897,0.054000000000000006,IPA - Red,Cheddar Ales
431,64583,0.038,Pale Ale - American,Cheddar Ales
432,1822773,0.042,English Bitter,Greene King
433,34575,0.045,Gluten-Free,Wold Top Brewery 
434,52463,0.036000000000000004,Golden Ale,Sharp's Brewery
435,290412,0.04,Pale Ale - American,Greene King
436,35403,0.045,Blonde Ale,Moorhouse's Brewery
437,450790,0.04,Pale Ale - English,Red Rock Brewery
438,90213,0.04,English Bitter,Moles Brewery
439,21840,0.042,Blonde Ale,Ringwood Brewery
440,40911,0.04,Pale Ale - English,Wye Valley Brewery
441,41568,0.05,Pilsner - Czech,Primátor
442,235972,0.04,Pale Ale - English,Ledbury Real Ales
443,14764,0.04,Golden Ale,Oakham Ales
444,19694,0.045,Golden Ale,Hobsons Brewery
445,799468,0.048,IPA - Red,Sharp's Brewery
446,10649,0.048,Porter - English,Hobsons Brewery
447,64346,0.038,English Bitter,Box Steam Brewery
448,1472412,0.05,Extra Special / Strong Bitter,Sharp's Brewery
449,616080,0.045,Pale Ale - American,Beerd Brewery
450,976733,0.09,Belgian Strong Dark Ale,Bières de Chimay
451,28603,0.044000000000000004,Golden Ale,Butcombe Brewery 
452,1560,0.046,English Bitter,Hook Norton Brewery
453,1855243,0.042,Porter - English,Tiley's
454,8056,0.09,IPA - Imperial / Double,Dogfish Head Craft Brewery
455,37237,0.035,English Bitter,Hook Norton Brewery
456,57490,0.04,Golden Ale,Arkell's Brewery
457,49843,0.036000000000000004,Blonde Ale,Hobsons Brewery
458,1732302,0.045,IPA - Red,Shepherd Neame
459,10703,0.048,Pilsner - German,Warsteiner
460,41537,0.045,Cider,Kopparbergs Bryggeri
461,1802381,0.05,IPA - American,ALDI Stores UK
462,25980,0.053,IPA - English,"Fuller, Smith & Turner "
463,559715,0.05,IPA - English,Butcombe Brewery 
464,366390,0.045,IPA - English,Asda
465,27403,0.05,Extra Special / Strong Bitter,Asda
466,28778,0.04,Pilsner - German,Brauerei Beck
467,5938,0.042,Lager - Pale,Kronenbourg
468,1510194,0.045,IPA - Session / India Session Ale,Ringwood Brewery
469,6447,0.045,English Bitter,Purity Brewing Co. (England)
470,18485,0.042,Traditional Ale,Hogs Back Brewery
471,11047,0.048,Lager - Euro,Feldschlösschen
472,12266,0.065,Winter Warmer,Greene King
473,795107,0.048,Pale Ale - English,Badger Ales (Hall & Woodhouse)
474,6601,0.047,Lager - Pale,Tsingtao Brewery
475,3235,0.049,Lager - Helles,Paulaner Brauerei
476,1578384,0.051,IPA - English,Black Sheep
477,1516853,0.052000000000000005,IPA - English,Charles Wells Brewery
478,687594,0.04,Golden Ale,Badger Ales (Hall & Woodhouse)
479,814442,0.059000000000000004,Rye Beer,Shipyard Brewing Company
480,53119,0.04,Cider,Kopparbergs Bryggeri
